text,label
The #coronavirus is the best deterrent for extramarital affairs since AIDS,0
"Well, shit. #COVID19 #smalltown #ShelterInPlace https://t.co/7m6sJ3yTx8",0
"Trying to keep our performers, performing during #COVID19 https://t.co/BxqETKMLD9",0
May I vent?? Re: #Coronavirus Just give me the facts. No cheerleading; no predictions of great days ahead. Just. The. Facts.   #RealityCheck #FactsOnlyPlease,0
German Chancellor Angela Merkel is awaiting her #COVID19 test results. She recently met with with a doctor who tested positive for the virus. https://t.co/nObEcNhdeV,0
Sidewalk wisdom in #NYC during the time and #coronavirus. #nycphotographer #nycphotos #covıd19 @ Broadway - Upper West Side https://t.co/YHFSIKigr3,0
@petersmith7012 @short2strings @bprophetable @MackayIM Hospital beds per capita doesn’t really matter for #COVID19. ICU beds (and people to run vents) is what matters. https://t.co/7OAUsvTvyO https://t.co/LSiw3p813V,0
Doing a little face time with Mr. Patrick today. #GCSorchestra #elearning #COVID19 https://t.co/T4GFJ6HWUA,0
WHO: virus can be characterized as a pandemic #COVID19,0
2/2 ... but he also used the #Covid_19🦠 for his political gain comparing it to Zelensky “Perfect Call” to boast himself and his political agenda. Very hypocritical since he’s been boasting along w/@FoxNews that the #Dems are weaponizing this virus to win the election 🤦🏻‍♂️,0
"I was recently Interviewed by the NY Times, It's true; stores are out of necessities the city is a bit of a ghost town; the traffic is nearly nonexistent-
but most of all people especially the elderly are very sick; PLEASE take precautions #StaySafe #health #COVID19 #coronavirus",0
"I made reservations at @Aba_Restaurant in downtown Chicago expecting it to be empty. I was wrong, Chicago residents came out in numbers making parking impossible. It’s like no one is afraid of #Covid_19",0
Looking to the near future and let us appreciate everything around us. We can do this together! #Covid_19 https://t.co/cfyr3Fl1Tc,0
Spending my #coronavirus #QuarantineLife rewatching  #Survivor This season is especially soooo cringey https://t.co/N5Lv3Y5JvF  Highlights include @JeffProbst asking men to rank women competitors sexually and not complying with #ADA requirements for hearing impaired competitors. https://t.co/m5m9c3GVGd,0
Stay healthy everyone! #quarantined. #Keepmoving #cancerrehab #COVID19 @MDAndersonNews https://t.co/NldNcSfX6p,0
"Shared from Fb

I love how the world has decided that we need the arts right now to survive. Free opera, free concerts, free books, free museum exhibits, all online. Maybe think about that the next time someone proposes slashing funding for the arts
#SocialDistancing #coronavirus",0
"After seeing (1) I went to (2) but when I saw the line I decided to go elsewhere, then I had to wait in line behind a (3) for a Big Mac. It's like (before a blizzard)⁴³ out there right now. #COVID19 https://t.co/nYBJRChLf1",0
@hippyniki @counterchekist I have tested negative for both strep and flu. I have been on steroids and antibiotics for over a week.  I think the fever might be gone now but the rest of my symptoms are still present.  I have been sick since March 1st. They just found #Covid19 in my city today too,0
Could this be a critical step towards a vaccine? ... humanity hopes!!! #coronavirus #CoronavirusOutbreak #COVID2019 #COVID19US https://t.co/YCpktzAOhc,0
Classy. Trump knocks a reporter’s job change when she asks a tough question about disbanding the pandemic task force. Great show of leadership. #coronavirus,0
It was good in ‘89 and it’s even better in ‘20. #COVID19 “It’s the end of the world as we know it”. https://t.co/1oj0hazwRb,0
Tracking my TP on Amazon. It was in Richmond VA this morning. Pretty sad when I have to track toilet paper. Thankfully we have a few rolls left til it gets here. #CoronavirusPandemic,0
Aria today how sad #LasVegas #ARIA #coronavirus #coronavirus #COVIDー19 https://t.co/LFWRjb1Rgo,0
"Dear #MSM - have we not reached the point at which you stop covering this daily #Propaganda ??
#Covid_19 #TrumpLiesPeopleDie #PressBriefing",0
Crazy times #coronavirus #robordonez #gdny #timeoutnewyork #artonlink @ Brooklyn Bridge https://t.co/SLa04wPjCR,0
"May peace be with you at this time. We will all get through this. #meditation #healthymind #healthybody #covid_19 #quarantine @ Signal Hill, California https://t.co/s1F6bMANwn",0
#coronavirus #StayHome #drinklocal #breweries #BrewCrew https://t.co/wD75HHdlvo,0
I 🙏🏿 that we all understand the power of teamwork and sacrifice. The message has been sent having so many conveniences taken away abruptly! The lost of life the most important! Let’s heed the example China has set in attacking this ugly desease!  #coronavirus #pray #teamwork https://t.co/29sS9QZGLv,0
@CNNPolitics @CNN @CDCgov @NoticentroWAPA @CBSNews @mayitaalcaldesa @wandavazquezg @NoticiasdePonce @elleonfiscaliz1 @RepJenniffer @Jenniffer2012 @ElNuevoDia @MSNBC @Metro_PR @VoceroPR @DavidBegnaud #PuertoRico #coronavirus @BernieSanders @POTUS @CNBC @ABCWorldNews https://t.co/k3kPupWFUU,0
Miss competing with my boys! 3 tourneys 🥇🥇🥇#CoronavirusPandemic #14Ubaseball #QuarantineWeek2 https://t.co/S7qfhEau6b,0
See how my University management @okstate helping in the difficult time of #CoronavirusPandemic where almost everyone is maintaining self-quarantine.  Thank you @FGSH_FRC staff for your help. We love you. https://t.co/zqMwCQd3p5,1
"Traveling international and everyone is pretty uptight about the #CoronavirusOutbreak, strangers won’t even let you lick your face anymore",0
Stop the Exponential  #coronavirus #CoronavirusPandemic #bendthecurve #bendthecurve #StayHomeStaySafe #CoronaOutbreak https://t.co/FxoYcBkAse,0
Im literally only sad because I can’t go to @ryanstouffer’s COMM 445 class anymore :/ #coronavirus #ripspringsemester,0
"@espn #SCTop10 @SportsCenter @notthefakeSVP It was a big shot to go up by three points, and the counter was amazing! #CoronavirusPandemic doesn’t stop BIG TIME PLAYS! https://t.co/SoRMzdQOup",0
.@DisneyCruise you should be ashamed of yourself.  An extra $2200 to book the same cruise this time next year.  We cancelled because of #Covid_19 and then a drastic up charge?  No excuse.  Just greed. #COVD19 #cruiseship,0
"@RandPaul we need your support! Please ensure that the House version of the #COVID19 relief package clarifies that the $75B provided for eligible ""care"" includes home- and community-based #disability supports! Please answer your email!",0
"Social distancing you say?  Well, I had THAT covered before #coronavirus",0
@starwars I want this movie but I have no money now that im jobless due #Covid_19,0
"Having lived in #Taiwan, #Canada and the States, I find it fascinating to witness how the 3 countries handle #coronavirusoutbreak. These simulations show how to flatten the coronavirus growth curve - #journalism at its best: https://t.co/Vd5OxzGIcS #COVID2019 #SocialDistance",0
"#Trump thought being President was going to be glorious, glamorous &amp; for 3 years he enjoyed wind in sails so  strong turkeys like him could fly. 
Today’s presser showed he doesn’t have DNA to keep cool, manage a crisis. His anger, frustration is out of control. #COVID19",0
Another great decision by a leader. @GovPritzker I salute U. @GavinNewsom will u be next?  #coronaviruscalifornia #COVID19 #coronavirus https://t.co/D3wNBTLN9N,0
"If you think this is crazy, given how many people still aren’t taking this seriously, shit is really about to get real, #coronavirus",0
Insiders tell me there are not enough IC beds or negative pressure rooms in #Boston for a huge spike in #coronavirus cases (on top of every other medical emergency) in our fair city on the North Atlantic. A global center for medicine and healthcare innovation and academia. https://t.co/wZenK1Kdeo,0
 everybody who gets #coronavirus needs a ventilator now @CDCgov 🤔 does pneumonia ever cause the need for a ventilator?,0
"#Selfmassage to do before and after your #coronavirus #homeworkout 👐 
...
Since we are workingout 🏋️‍♂️ at home, how about some self massage 💆‍♀️ tips and ideas. They will be on my #youtube channel 
...… https://t.co/WG06tIdDbL",0
“I’m choosing not to go to the gym because of Coronavirus” sounds so much better than “I’m a lazy asshole.” Silver linings. #COVID19,0
"@peterjohndario How ironic that this was the morning quote I picked for today, on my last day before #coronavirus layoffs. https://t.co/fxuMVCsDdZ",0
Idk?? Maybe .. maybe not ? #COVIDIOT #CoronavirusNewYork #ClubQuarantine #CovfefeVirus #coronavirus #COVIDー19 #TrumpPandemic #COVID19PH https://t.co/LZOFGNklI7,0
"Seen tonight in Gainesville, Virginia...
@HobbyLobby #Covid_19 #CoronavirusPandemic #lockdown #coronamemes https://t.co/X7E8Aec3eA",0
"#bregaconeso #quedateencasa #covıd19 #dia4 #toiletpapertalks @ San Juan, Puerto Rico https://t.co/KKQR6UrguP",0
Humans suck #COVID19 #coronavirus https://t.co/H2NsFr74lg,0
"Wednesday Wishlist: the obvious, for this #coronavirus to go away. Would also like to meet my friends in our cars, park, and roll down the windows and talk. It's day 5 for us and I really miss my people.",0
"Make the players, coaches and staff pay for there own #Covid_19 test! @NHL @NBA @MLB @OfficialFPL stop using the test your community needs more.",0
"I start my day here. More global heartbreak. #USA, we will be here soon. I pray for our global community . #coronavirus #COVID19 #SARSCoV2 https://t.co/iSQT6FMV5p",0
@nyc311 Drink Green Beer to fight #CoronavirusPandemic,0
Definitely has #COVID19 now.. 😷🧤☣️ https://t.co/WeG5ehWcCb,0
@SenatorLoeffler Shut up @SenatorLoeffler we have seen who you really are and are done with you.  Go back to your $10mm mansion and stop acting as if you care about the rest of us. #Covid19 #InsiderTrading #MarthaStewartWentToPrisonForThis,0
@SUNY @NYGovCuomo FIT: “Our staff will implement an campus wide cleaning and sanitizing. Classes that require in person instructions will continue.” Don’t you love when your school’s making sure you’re healthy 🤡 #Covid_19 #coronapocalypse #CoronavirusPandemic #CoronaOutbreak https://t.co/w4nJRl19vR,0
#toiletpaper #CoronavirusPandemic #StayHome https://t.co/Wn7d4SCBQX,0
"https://t.co/KikjowOHgP Blitz - what’s one thing you’re thankful to have that you previously took for granted before #Coronavirus #covid_19 outbreak? Share here and we’ll discuss soon!! @ Lynchburg, Virginia https://t.co/Vm41O3hoYq",0
"Third death in El Paso County due to #COVID19. A man in his 70’s, according to @EPCPublicHealth.

No other info available right now. The latest tonight on @KRDONC13 at 10.",0
Not sure it's the VP's place to encourage people to tithe. #CoronavirusPandemic,0
@NYGovCuomo is the real leader of this crisis right now. New York will go first and fast and the rest of country will follow. PAY ATTENTION. #coronavirus #COVID19,0
"I NEVER realized till #CoronaVirus how much I touch my face.....I DON'T need Hand Sanitizer.....I need a STRAIGHTJACKET! 😱
#WashYourHands #DontTouchYourFace
#CoronaVirusChallenge",1
"Lawd this dude is talking about how if the folks back in 1918 had of done what His administration is doing maybe so many folks wouldn't have died, if only they had of had the resources #Trump has  #whyisHePresident #coronavirus",0
"#PeteNavarro WHTradeAdvisor says #buyAmerican Bill? Wants to deregulate? Didnt we go through with the 2008 Banks too large to fail greed that was part of Deregulation

Unemployment up by 550% in some states already being impacted by #CoronavirusPandemic 

Domino effect going on https://t.co/zRQSC2ZJHQ",0
"Help stop the #coronavirus. @ Greenville, South Carolina https://t.co/4U3gPNVRni",0
